UID,Institution,Applican ID,PEP,Criminal,Expected employment key,Expected occupation key
14756,CAYMAN,5195,NULL,NULL,C,015
14758,CAYMAN,5197,NULL,NULL,C,015
14772,CAYMAN,5211,NULL,NULL,C,055
14774,CAYMAN,5213,NULL,NULL,C,003
14799,CAYMAN,5238,NULL,NULL,C,031
14851,CAYMAN,5290,NULL,NULL,C,031
14856,CAYMAN,5295,NULL,NULL,C,031
14865,CAYMAN,5304,NULL,NULL,C,047
14910,CAYMAN,5349,NULL,NULL,C,062
14928,CAYMAN,5367,NULL,NULL,C,001
15025,CAYMAN,5464,NULL,NULL,C,047
15033,CAYMAN,5472,NULL,NULL,C,036
15057,CAYMAN,5496,NULL,NULL,C,003
15085,TW,5524,NULL,NULL,C,047
15089,CAYMAN,5528,NULL,NULL,C,003
15124,CAYMAN,5563,NULL,NULL,C,055
15143,TW,5582,NULL,NULL,C,051
15176,CAYMAN,5615,NULL,NULL,C,047
15212,CAYMAN,5651,NULL,NULL,C,047
15219,CAYMAN,5658,NULL,NULL,C,003
15251,CAYMAN,5690,NULL,NULL,C,004
15276,CAYMAN,5715,NULL,NULL,C,009
15310,CAYMAN,5749,NULL,NULL,C,047
15315,CAYMAN,5754,NULL,NULL,C,071
15328,CAYMAN,5767,NULL,NULL,C,003
15332,TW,5771,NULL,NULL,C,003
15408,CAYMAN,5847,NULL,NULL,C,003
15463,CAYMAN,5902,NULL,NULL,C,003
15473,CAYMAN,5912,NULL,NULL,C,009
15495,CAYMAN,5934,NULL,NULL,C,009
15501,CAYMAN,5940,NULL,NULL,C,003
15512,TW,5951,NULL,NULL,C,058
15559,CAYMAN,5998,NULL,NULL,C,047
15636,CAYMAN,6075,NULL,NULL,C,047
15637,CAYMAN,6076,NULL,NULL,C,003
15639,CAYMAN,6078,NULL,NULL,C,031
15645,CAYMAN,6084,NULL,NULL,C,001
15673,CAYMAN,6112,NULL,NULL,C,055
15706,TW,6145,NULL,NULL,C,003
15734,CAYMAN,6173,NULL,NULL,C,004
15783,TW,6222,NULL,NULL,C,027
15784,CAYMAN,6223,NULL,NULL,C,027
15797,TW,6236,NULL,NULL,C,027
15802,TW,6241,NULL,NULL,C,062
15803,TW,6242,NULL,NULL,C,047
15808,CAYMAN,6247,NULL,NULL,C,047
15873,CAYMAN,6312,NULL,NULL,C,015
15912,CAYMAN,6351,NULL,NULL,C,047
15920,TW,6359,NULL,NULL,C,003
15921,CAYMAN,6360,NULL,NULL,C,003
15931,CAYMAN,6370,NULL,NULL,C,047
15933,CAYMAN,6372,NULL,NULL,C,047
15940,CAYMAN,6379,NULL,NULL,C,047
15976,TW,6415,NULL,NULL,C,047
15992,CAYMAN,6431,NULL,NULL,C,031
16018,CAYMAN,6457,NULL,NULL,C,047
16126,CAYMAN,6565,NULL,NULL,C,047
16128,CAYMAN,6567,NULL,NULL,C,047
16231,TW,6670,NULL,NULL,C,005
16250,CAYMAN,6689,NULL,NULL,C,057
16275,CAYMAN,6714,NULL,NULL,C,003
16283,CAYMAN,6722,NULL,NULL,C,059
16353,CAYMAN,6792,NULL,NULL,C,062
16360,TW,6799,NULL,NULL,C,062
16388,TW,6827,NULL,NULL,C,059
16425,CAYMAN,6864,NULL,NULL,C,003
16426,TW,6865,NULL,NULL,C,009
16448,CAYMAN,6887,NULL,NULL,C,047
16500,CAYMAN,6939,NULL,NULL,C,003
16512,CAYMAN,6951,NULL,NULL,C,031
16532,CAYMAN,6971,NULL,NULL,C,047
16556,TW,6995,NULL,NULL,C,015
16572,CAYMAN,7011,NULL,NULL,C,047
16627,TW,7066,NULL,NULL,C,015
16683,TW,7122,NULL,NULL,C,004
16732,CAYMAN,7162,NULL,NULL,C,047
16746,CAYMAN,7170,NULL,NULL,C,031
16821,CAYMAN,7205,NULL,NULL,C,055
16824,CAYMAN,7206,NULL,NULL,C,047
16885,CAYMAN,7232,NULL,NULL,C,047
16902,CAYMAN,7251,NULL,NULL,C,031
16932,CAYMAN,7281,NULL,NULL,C,003
16952,CAYMAN,7301,NULL,NULL,C,047
16979,CAYMAN,7328,NULL,NULL,C,021
17027,CAYMAN,7376,NULL,NULL,C,003
17036,TW,7385,NULL,NULL,C,003
17062,CAYMAN,7411,NULL,NULL,C,009
17065,CAYMAN,7414,NULL,NULL,C,004
17066,CAYMAN,7415,NULL,NULL,C,047
17102,CAYMAN,7451,NULL,NULL,C,009
17114,TW,7463,NULL,NULL,C,047
17121,CAYMAN,7470,NULL,NULL,C,021
17128,CAYMAN,7477,NULL,NULL,C,047
17163,TW,7512,NULL,NULL,C,062
17211,CAYMAN,7560,NULL,NULL,C,015
17223,CAYMAN,7572,NULL,NULL,C,047
17226,CAYMAN,7575,NULL,NULL,C,047
17228,CAYMAN,7577,NULL,NULL,C,059
17235,TW,7584,NULL,NULL,C,003
17244,CAYMAN,7593,NULL,NULL,C,051
17247,CAYMAN,7596,NULL,NULL,C,047
17333,TW,7682,NULL,NULL,C,015
17389,CAYMAN,7738,NULL,NULL,C,003
17400,TW,7749,NULL,NULL,C,047
17419,TW,7768,NULL,NULL,C,009
17420,TW,7769,NULL,NULL,C,003
17451,TW,7800,NULL,NULL,C,021
17475,TW,7824,NULL,NULL,C,031
17497,CAYMAN,7846,NULL,NULL,C,053
17549,CAYMAN,7898,NULL,NULL,C,003
17566,CAYMAN,7915,NULL,NULL,C,047
17575,CAYMAN,7924,NULL,NULL,C,003
17601,CAYMAN,7950,NULL,NULL,C,062
17614,CAYMAN,7963,NULL,NULL,C,032
17625,CAYMAN,7974,NULL,NULL,C,047
17639,CAYMAN,7988,NULL,NULL,C,015
17648,CAYMAN,7997,NULL,NULL,C,057
17658,CAYMAN,8007,NULL,NULL,C,055
17684,CAYMAN,8032,NULL,NULL,C,003
17689,CAYMAN,8037,NULL,NULL,C,047
17730,CAYMAN,8078,NULL,NULL,C,047
17750,CAYMAN,8098,NULL,NULL,C,047
17796,CAYMAN,8144,NULL,NULL,C,047
17908,CAYMAN,8255,NULL,NULL,C,055
18012,CAYMAN,8358,NULL,NULL,C,055
18051,CAYMAN,8397,NULL,NULL,C,062
18151,CAYMAN,8497,NULL,NULL,C,001
18252,CAYMAN,8597,NULL,NULL,C,031
18269,CAYMAN,8614,NULL,NULL,C,027
18350,CAYMAN,8695,NULL,NULL,C,062
18389,CAYMAN,8734,NULL,NULL,C,047
18390,CAYMAN,8735,NULL,NULL,C,003
18404,CAYMAN,8749,NULL,NULL,C,052
18415,CAYMAN,8760,NULL,NULL,C,047
18417,CAYMAN,8762,NULL,NULL,C,047
18447,CAYMAN,8792,NULL,NULL,C,059
18452,CAYMAN,8797,NULL,NULL,C,055
18537,CAYMAN,8881,NULL,NULL,C,047
18568,CAYMAN,8912,NULL,NULL,C,066
18578,CAYMAN,8922,NULL,NULL,C,059
18649,CAYMAN,8993,NULL,NULL,C,001
18689,CAYMAN,9033,NULL,NULL,C,004
18696,CAYMAN,9040,NULL,NULL,C,031
18700,CAYMAN,9044,NULL,NULL,C,027
18726,CAYMAN,9070,NULL,NULL,C,059
18727,CAYMAN,9071,NULL,NULL,C,057
18731,CAYMAN,9075,NULL,NULL,C,009
18816,CAYMAN,9160,NULL,NULL,C,052
18837,CAYMAN,9181,NULL,NULL,C,029
18858,CAYMAN,9202,NULL,NULL,C,029
18879,CAYMAN,9223,NULL,NULL,C,015
18906,CAYMAN,9250,NULL,NULL,C,005
18932,CAYMAN,9276,NULL,NULL,C,059
18953,CAYMAN,9297,NULL,NULL,C,031
18970,CAYMAN,9314,NULL,NULL,C,015
18971,CAYMAN,9315,NULL,NULL,C,015
18989,CAYMAN,9333,NULL,NULL,C,055
19044,CAYMAN,9388,NULL,NULL,C,003
19049,CAYMAN,9393,NULL,NULL,C,015
19115,CAYMAN,9459,NULL,NULL,C,031
19143,CAYMAN,9487,NULL,NULL,C,009
19149,CAYMAN,9493,NULL,NULL,C,062
19162,CAYMAN,9506,NULL,NULL,C,047
19261,CAYMAN,9605,NULL,NULL,C,055
19288,CAYMAN,9632,NULL,NULL,C,062
19296,CAYMAN,9640,NULL,NULL,C,062
19338,CAYMAN,9682,NULL,NULL,C,066
19350,CAYMAN,9694,NULL,NULL,C,047
19354,CAYMAN,9698,NULL,NULL,C,055
19395,CAYMAN,9739,NULL,NULL,C,003
19529,CAYMAN,9873,NULL,NULL,C,047
19639,CAYMAN,9983,NULL,NULL,C,015
19663,CAYMAN,10007,NULL,NULL,C,057
19681,CAYMAN,10025,NULL,NULL,C,001
19735,CAYMAN,10079,NULL,NULL,C,047
19818,CAYMAN,10162,NULL,NULL,C,047
19833,CAYMAN,10177,NULL,NULL,C,066
19895,CAYMAN,10239,NULL,NULL,C,066
19905,CAYMAN,10249,NULL,NULL,C,052
19914,CAYMAN,10258,NULL,NULL,C,004
19931,CAYMAN,10275,NULL,NULL,C,003
19938,CAYMAN,10282,NULL,NULL,C,001
19946,CAYMAN,10290,NULL,NULL,C,047
19987,CAYMAN,10331,NULL,NULL,C,047
19998,CAYMAN,10342,NULL,NULL,C,055
20003,CAYMAN,10347,NULL,NULL,C,055
20005,CAYMAN,10349,NULL,NULL,C,003
20071,CAYMAN,10415,NULL,NULL,C,003
20120,CAYMAN,10464,NULL,NULL,C,062
20144,CAYMAN,10488,NULL,NULL,C,055
20217,CAYMAN,10561,NULL,NULL,C,001
20221,CAYMAN,10565,NULL,NULL,C,055
20238,CAYMAN,10582,NULL,NULL,C,052
20269,CAYMAN,10613,NULL,NULL,C,015
20278,CAYMAN,10622,NULL,NULL,C,001
20339,CAYMAN,10683,NULL,NULL,C,015
20406,CAYMAN,10750,NULL,NULL,C,047
20528,CAYMAN,10872,NULL,NULL,C,015
20537,CAYMAN,10881,NULL,NULL,C,047
20576,CAYMAN,10920,NULL,NULL,C,004
20613,CAYMAN,10957,NULL,NULL,C,058
20725,CAYMAN,11069,NULL,NULL,C,047
20746,CAYMAN,11089,NULL,NULL,C,066
20761,CAYMAN,11104,NULL,NULL,C,003
20812,CAYMAN,11155,NULL,NULL,C,055
20817,CAYMAN,11160,NULL,NULL,C,004
20840,CAYMAN,11183,NULL,NULL,C,009
20885,CAYMAN,11228,NULL,NULL,C,055
20960,CAYMAN,11303,NULL,NULL,C,047
20961,CAYMAN,11304,NULL,NULL,C,047
21027,CAYMAN,11370,NULL,NULL,C,055
21060,CAYMAN,11403,NULL,NULL,C,055
21077,CAYMAN,11420,NULL,NULL,C,047
21078,CAYMAN,11421,NULL,NULL,C,047
21180,CAYMAN,11523,NULL,NULL,C,055
21194,CAYMAN,11537,NULL,NULL,C,003
21208,CAYMAN,11551,NULL,NULL,C,047
21260,CAYMAN,11603,NULL,NULL,C,062
21273,CAYMAN,11616,NULL,NULL,C,062
21333,CAYMAN,11676,NULL,NULL,C,003
21439,CAYMAN,11782,NULL,NULL,C,001
21456,CAYMAN,11799,NULL,NULL,C,001
